flowId,timeFirstTxPacket,timeFirstRxPacket,timeLastTxPacket,timeLastRxPacket,delaySum,jitterSum,lastDelay,maxDelay,minDelay,txBytes,rxBytes,txPackets,rxPackets,lostPackets,timesForwarded,throughput_mbps,loss_rate,avg_delay,avg_jitter
1,1.5012,1.54373,9.9996,9.04632,171.198,2.92979,0.871923,1.22536,0.0425302,8697924,343840,7083,280,0,0,0.3666360550156679,0.0,611.4214285714286,10.463535714285715
2,1.8,3.80059,9.8,9.8001,3.37589,2.74382,0.000100935,2.00059,0.000100935,1602,1424,9,8,0,0,0.0018988217371085302,0.0,421.98625,342.97749999999996
3,1.9,3.90336,9.9,9.90168,3.01593,2.00494,0.00167708,2.00336,0.000698061,1602,1246,9,7,0,0,0.0016617986369516795,0.0,430.8471428571429,286.42
4,2.0,5.00365,9.0,7.00199,6.01516,3.00166,0.00199144,3.00365,0.00199144,1424,712,8,4,0,0,0.0028503658036170025,0.0,1503.79,750.4150000000001
5,2.0012,0.0,9.9992,0.0,0.0,0.0,0.0,0.0,9223370000.0,8185848,0,6666,0,0,0,0.0,0.0,0.0,0.0
6,2.2,4.20615,9.2,9.33995,3.95949,3.4527,0.139947,2.00615,0.00189304,1424,1246,8,7,0,0,0.0019416416689391873,0.0,565.6414285714286,493.24285714285713
7,2.3,4.30745,9.3,9.34018,3.38271,2.58555,0.0401791,2.00745,0.00237456,1424,1246,8,7,0,0,0.0019806347648294266,0.0,483.2442857142857,369.3642857142857
8,2.4,5.40796,9.4,9.40273,6.24641,3.426,0.00273366,3.00796,0.00261519,1424,1068,8,6,0,0,0.0021387964763928836,0.0,1041.0683333333332,571.0000000000001
9,2.5,0.0,5.5,0.0,0.0,0.0,0.0,0.0,9223370000.0,112,0,2,0,0,0,0.0,0.0,0.0,0.0
10,2.6,0.0,9.6,0.0,0.0,0.0,0.0,0.0,9223370000.0,1424,0,8,0,0,0,0.0,0.0,0.0,0.0
11,2.7,0.0,9.7,0.0,0.0,0.0,0.0,0.0,9223370000.0,1424,0,8,0,0,0,0.0,0.0,0.0,0.0
12,3.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,9223370000.0,112,0,2,0,0,0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
