file,node,event,time,rate,mac_type,retry,length,src_ip,dst_ip,ip_id,l4,src_port,dst_port
5g_playfield_ascii_traces-8-1.tr,8,r,0.00125202,OfdmRate6Mbps,MGT_BEACON,0.0,,,,,,,
5g_playfield_ascii_traces-8-1.tr,8,t,0.00128602,OfdmRate6Mbps,MGT_ACTION,0.0,,,,,,,
5g_playfield_ascii_traces-8-1.tr,8,r,0.00145444,OfdmRate6Mbps,CTL_ACK,,,,,,,,
5g_playfield_ascii_traces-8-1.tr,8,r,0.00166086,OfdmRate6Mbps,MGT_ACTION,0.0,,,,,,,
5g_playfield_ascii_traces-8-1.tr,8,r,0.00184528,OfdmRate6Mbps,MGT_ACTION,0.0,,,,,,,
5g_playfield_ascii_traces-8-1.tr,8,r,0.0019737,OfdmRate6Mbps,CTL_END,,,,,,,,
5g_playfield_ascii_traces-8-1.tr,8,t,0.0020167,OfdmRate6Mbps,MGT_ACTION,1.0,,,,,,,
5g_playfield_ascii_traces-8-1.tr,8,r,0.00217212,OfdmRate6Mbps,CTL_ACK,,,,,,,,
5g_playfield_ascii_traces-8-1.tr,8,t,0.00414912,OfdmRate6Mbps,MGT_ACTION,1.0,,,,,,,
5g_playfield_ascii_traces-8-1.tr,8,r,0.00431754,OfdmRate6Mbps,CTL_ACK,,,,,,,,
5g_playfield_ascii_traces-8-1.tr,8,t,0.00433354,OfdmRate6Mbps,CTL_END,,,,,,,,
5g_playfield_ascii_traces-8-1.tr,8,r,0.00452396,OfdmRate6Mbps,MGT_ACTION,0.0,,,,,,,
5g_playfield_ascii_traces-8-1.tr,8,t,0.00453996,OfdmRate6Mbps,CTL_ACK,,,,,,,,
5g_playfield_ascii_traces-8-1.tr,8,r,0.00470838,OfdmRate6Mbps,MGT_ACTION,0.0,,,,,,,
5g_playfield_ascii_traces-8-1.tr,8,t,0.00472438,OfdmRate6Mbps,CTL_ACK,,,,,,,,
5g_playfield_ascii_traces-8-1.tr,8,r,0.00483679,OfdmRate6Mbps,CTL_END,,,,,,,,
5g_playfield_ascii_traces-8-1.tr,8,t,0.0048798,OfdmRate6Mbps,MGT_ACTION,0.0,,,,,,,
5g_playfield_ascii_traces-8-1.tr,8,r,0.00504421,OfdmRate6Mbps,CTL_ACK,,,,,,,,
5g_playfield_ascii_traces-8-1.tr,8,t,0.00506021,OfdmRate6Mbps,CTL_END,,,,,,,,
5g_playfield_ascii_traces-8-1.tr,8,t,0.043,OfdmRate6Mbps,MGT_BEACON,0.0,,,,,,,
5g_playfield_ascii_traces-8-1.tr,8,r,0.0432545,OfdmRate6Mbps,MGT_ACTION,0.0,,,,,,,
5g_playfield_ascii_traces-8-1.tr,8,t,0.0432705,OfdmRate6Mbps,CTL_ACK,,,,,,,,
5g_playfield_ascii_traces-8-1.tr,8,r,0.0433829,OfdmRate6Mbps,CTL_END,,,,,,,,
5g_playfield_ascii_traces-8-1.tr,8,t,0.0434169,OfdmRate6Mbps,MGT_ACTION,0.0,,,,,,,
5g_playfield_ascii_traces-8-1.tr,8,r,0.0435813,OfdmRate6Mbps,CTL_ACK,,,,,,,,
5g_playfield_ascii_traces-8-1.tr,8,t,0.0435973,OfdmRate6Mbps,MGT_ACTION,0.0,,,,,,,
5g_playfield_ascii_traces-8-1.tr,8,r,0.0437657,OfdmRate6Mbps,CTL_ACK,,,,,,,,
5g_playfield_ascii_traces-8-1.tr,8,t,0.0437817,OfdmRate6Mbps,CTL_END,,,,,,,,
5g_playfield_ascii_traces-8-1.tr,8,r,0.0439902,OfdmRate6Mbps,MGT_ACTION,0.0,,,,,,,
5g_playfield_ascii_traces-8-1.tr,8,t,0.0440062,OfdmRate6Mbps,CTL_ACK,,,,,,,,
5g_playfield_ascii_traces-8-1.tr,8,r,0.0441186,OfdmRate6Mbps,CTL_END,,,,,,,,
5g_playfield_ascii_traces-8-1.tr,8,r,0.0611349,OfdmRate6Mbps,MGT_BEACON,0.0,,,,,,,
5g_playfield_ascii_traces-8-1.tr,8,r,0.501268,OfdmRate6Mbps,MGT_BEACON,0.0,,,,,,,
5g_playfield_ascii_traces-8-1.tr,8,t,0.543,OfdmRate6Mbps,MGT_BEACON,0.0,,,,,,,
5g_playfield_ascii_traces-8-1.tr,8,r,0.561135,OfdmRate6Mbps,MGT_BEACON,0.0,,,,,,,
5g_playfield_ascii_traces-8-1.tr,8,r,1.00127,OfdmRate6Mbps,MGT_BEACON,0.0,,,,,,,
5g_playfield_ascii_traces-8-1.tr,8,t,1.043,OfdmRate6Mbps,MGT_BEACON,0.0,,,,,,,
5g_playfield_ascii_traces-8-1.tr,8,r,1.06113,OfdmRate6Mbps,MGT_BEACON,0.0,,,,,,,
5g_playfield_ascii_traces-8-1.tr,8,r,1.50127,OfdmRate6Mbps,MGT_BEACON,0.0,,,,,,,
5g_playfield_ascii_traces-8-1.tr,8,r,1.51067,OfdmRate6Mbps,QOSDATA,0.0,,,,,,,
5g_playfield_ascii_traces-8-1.tr,8,t,1.51104,OfdmRate6Mbps,QOSDATA,0.0,,,,,,,
5g_playfield_ascii_traces-8-1.tr,8,r,1.51136,OfdmRate6Mbps,MGT_ACTION,0.0,,,,,,,
5g_playfield_ascii_traces-8-1.tr,8,r,1.51164,OfdmRate6Mbps,QOSDATA,0.0,,,,,,,
5g_playfield_ascii_traces-8-1.tr,8,t,1.51172,OfdmRate6Mbps,MGT_ACTION,0.0,,,,,,,
5g_playfield_ascii_traces-8-1.tr,8,r,1.51236,OfdmRate6Mbps,MGT_ACTION,0.0,,,,,,,
5g_playfield_ascii_traces-8-1.tr,8,r,1.51832,OfdmRate6Mbps,CTL_ACK,,,,,,,,
