Time	CellId	RNTI	BWPId	SINR(dB)
7.1427e-05	1	0	0	-22.4184
7.1427e-05	1	0	0	-15.0643
7.1427e-05	1	0	0	-27.7468
7.1427e-05	1	0	0	-26.2442
7.1427e-05	1	0	0	-18.0134
7.1427e-05	1	0	0	-34.0183
7.1427e-05	3	0	0	-12.0628
7.1427e-05	3	0	0	12.3113
7.1427e-05	3	0	0	-4.39868
7.1427e-05	3	0	0	-8.01919
0.00507143	1	0	0	-17.1347
0.00507143	1	0	0	-11.6349
0.00507143	1	0	0	-21.0731
0.00507143	1	0	0	-15.9288
0.00507143	1	0	0	-18.4891
0.00507143	1	0	0	-24.2976
0.00507143	3	0	0	-11.1866
0.00507143	3	0	0	10.8513
0.00507143	3	0	0	-3.49814
0.00507143	3	0	0	-9.24296
0.0100714	1	0	0	-17.1126
0.0100714	1	0	0	-11.7075
0.0100714	1	0	0	-21.1293
0.0100714	1	0	0	-15.9915
0.0100714	1	0	0	-18.3438
0.0100714	1	0	0	-24.1433
0.0100714	3	0	0	-11.0933
0.0100714	3	0	0	10.8272
0.0100714	3	0	0	-3.53036
0.0100714	3	0	0	-9.24118
0.0150714	1	0	0	-17.2801
0.0150714	1	0	0	-11.7968
0.0150714	1	0	0	-21.0941
0.0150714	1	0	0	-15.9439
0.0150714	1	0	0	-18.2828
0.0150714	1	0	0	-24.2958
0.0150714	3	0	0	-11.0588
0.0150714	3	0	0	10.8567
0.0150714	3	0	0	-3.45419
0.0150714	3	0	0	-9.12975
0.0200714	1	0	0	-17.2454
0.0200714	1	0	0	-11.757
0.0200714	1	0	0	-20.9749
0.0200714	1	0	0	-15.8966
0.0200714	1	0	0	-18.1405
0.0200714	1	0	0	-24.2438
0.0200714	3	0	0	-11.0614
0.0200714	3	0	0	10.7611
0.0200714	3	0	0	-3.41923
0.0200714	3	0	0	-9.0262
0.0250714	1	1	0	-17.2587
0.0250714	1	2	0	-11.7269
0.0250714	1	3	0	-20.9256
0.0250714	1	4	0	-15.9668
0.0250714	1	5	0	-17.9693
0.0250714	1	6	0	-24.2609
0.0250714	3	1	0	-11.0826
0.0250714	3	2	0	10.8525
0.0250714	3	3	0	-3.29381
0.0250714	3	4	0	-8.9904
0.0300714	1	1	0	-17.3003
0.0300714	1	2	0	-11.7499
0.0300714	1	3	0	-20.8562
0.0300714	1	4	0	-15.903
0.0300714	1	5	0	-17.7538
0.0300714	1	6	0	-24.236
0.0300714	3	1	0	-11.038
0.0300714	3	2	0	10.8274
0.0300714	3	3	0	-3.19235
0.0300714	3	4	0	-8.88311
0.0340714	1	1	0	-17.2436
0.0340714	1	2	0	-11.7717
0.0340714	1	3	0	-7.79376
0.0340714	1	4	0	-15.41
0.0340714	1	5	0	-17.5283
0.0340714	1	6	0	-24.1755
0.0350714	1	1	0	-17.2403
0.0350714	1	2	0	-11.7889
0.0350714	1	3	0	-20.8943
0.0350714	1	4	0	-15.8618
0.0350714	1	5	0	-17.4893
0.0350714	1	6	0	-24.1635
0.0350714	3	1	0	-11.152
0.0350714	3	2	0	10.8988
0.0350714	3	3	0	-3.194
0.0350714	3	4	0	-8.81783
0.0400714	1	1	0	-17.2767
0.0400714	1	2	0	-11.8223
0.0400714	1	3	0	-20.831
0.0400714	1	4	0	-15.86
0.0400714	1	5	0	-17.4047
0.0400714	1	6	0	-24.1606
0.0400714	3	1	0	-11.2007
0.0400714	3	2	0	10.9397
0.0400714	3	3	0	-3.11606
0.0400714	3	4	0	-8.71144
0.0420714	3	1	0	-11.1436
0.0420714	3	2	0	10.9187
