Time	CellId	RNTI	BWPId	SINR(dB)
10.0181	1	1	0	-20.8258
10.0231	1	1	0	-20.8346
10.0281	1	1	0	-20.8447
10.0331	1	1	0	-20.8558
10.3131	3	2	0	-34.8958
10.3181	3	2	0	-34.9031
10.3231	3	2	0	-34.9084
10.3281	3	2	0	-34.9112
10.5181	1	4	0	-19.3189
10.5231	1	4	0	-19.319
10.5281	1	4	0	-19.319
10.5331	1	4	0	-19.3191
10.8181	1	5	0	-12.5463
10.8231	1	5	0	-12.5407
10.8291	1	5	0	-12.5352
10.8341	1	5	0	-12.5316
10.8731	1	5	0	-12.5455
10.8771	1	5	0	-12.5505
10.8791	1	5	0	-12.5532
10.8801	1	5	0	-12.5546
10.8811	1	5	0	-12.556
10.8821	1	5	0	-12.5574
10.8841	1	5	0	-12.5603
10.8851	1	5	0	-12.5617
10.8861	1	5	0	-12.5632
10.8871	1	5	0	-12.5647
10.8891	1	5	0	-12.5676
10.8901	1	5	0	-12.5691
10.8911	1	5	0	-12.5706
10.8921	1	5	0	-12.5721
10.8951	1	5	0	-12.5766
10.8961	1	5	0	-12.5781
10.9303	1	5	0	-12.6134
10.9311	1	5	0	-12.6137
10.9321	1	5	0	-12.614
10.9353	1	5	0	-12.6144
10.9361	1	5	0	-12.6144
10.9371	1	5	0	-12.6144
10.9403	1	5	0	-12.6141
10.9411	1	5	0	-12.6138
10.9421	1	5	0	-12.6136
10.9453	1	5	0	-12.6124
10.9461	1	5	0	-12.612
10.9841	1	5	0	-12.5686
10.9851	1	5	0	-12.5672
10.9891	1	5	0	-12.5617
10.9901	1	5	0	-12.5603
10.9912	1	5	0	-12.559
10.9931	1	5	0	-12.5564
10.9941	1	5	0	-12.5552
10.9951	1	5	0	-12.5539
10.9962	1	5	0	-12.5527
10.9981	1	5	0	-12.5504
11.0001	1	5	0	-12.5754
11.0012	1	5	0	-12.5768
11.0031	1	5	0	-12.5796
11.0062	1	5	0	-12.5835
11.0081	1	5	0	-12.586
11.0121	1	6	0	-37.0584
11.0131	3	5	0	-33.6783
11.0171	1	6	0	-37.063
11.0181	3	5	0	-26.4394
11.0231	3	5	0	-33.645
11.0281	3	5	0	-33.6597
11.0351	1	6	0	-37.0801
11.0401	1	6	0	-37.0847
11.1131	1	5	0	-12.5244
11.1171	1	7	0	-17.7017
11.1181	1	5	0	-12.5221
11.1221	1	7	0	-17.7009
11.1231	1	5	0	-12.521
11.1271	1	7	0	-17.7
11.1281	1	5	0	-12.5212
11.1321	1	7	0	-17.6992
11.2131	1	8	0	-21.5534
11.2134	1	5	0	-12.6036
11.2183	1	5	0	-12.6031
11.2191	1	8	0	-21.555
