Time(sec)	CellId	BwpId	IMSI	pathLoss(dB)
0	1	0	0	-127.001
0	1	0	1	-134.592
0	1	0	4	-139.607
0	1	0	5	-125.799
0	1	0	8	-118.856
0	1	0	10	-141.551
0	1	0	11	-125.178
0	1	0	12	-124.954
0	3	0	2	-136.353
0	3	0	3	-148.295
0	3	0	6	-80.2219
0	3	0	7	-128.15
0	3	0	9	-133.362
0	3	0	13	-81.0064
0	3	0	14	-125.597
0.005	1	0	0	-127.001
0.005	1	0	1	-134.592
0.005	1	0	4	-139.607
0.005	1	0	5	-125.799
0.005	1	0	8	-118.856
0.005	1	0	10	-141.551
0.005	1	0	11	-125.178
0.005	1	0	12	-124.953
0.005	3	0	2	-136.353
0.005	3	0	3	-148.295
0.005	3	0	6	-80.2219
0.005	3	0	7	-128.15
0.005	3	0	9	-133.362
0.005	3	0	13	-81.0064
0.005	3	0	14	-125.597
0.01	1	0	0	-127.001
0.01	1	0	1	-134.592
0.01	1	0	4	-139.607
0.01	1	0	5	-125.799
0.01	1	0	8	-118.856
0.01	1	0	10	-141.551
0.01	1	0	11	-125.179
0.01	1	0	12	-124.953
0.01	3	0	2	-136.353
0.01	3	0	3	-148.295
0.01	3	0	6	-80.222
0.01	3	0	7	-128.15
0.01	3	0	9	-133.362
0.01	3	0	13	-81.0064
0.01	3	0	14	-125.597
0.015	1	0	0	-127.002
0.015	1	0	1	-134.591
0.015	1	0	4	-139.608
0.015	1	0	5	-125.799
0.015	1	0	8	-118.857
0.015	1	0	10	-141.551
0.015	1	0	11	-125.179
0.015	1	0	12	-124.953
0.015	3	0	2	-136.353
0.015	3	0	3	-148.295
0.015	3	0	6	-80.222
0.015	3	0	7	-128.15
0.015	3	0	9	-133.362
0.015	3	0	13	-81.0064
0.015	3	0	14	-125.597
0.02	1	0	0	-127.002
0.02	1	0	1	-134.591
0.02	1	0	4	-139.608
0.02	1	0	5	-125.799
0.02	1	0	8	-118.857
0.02	1	0	10	-141.551
0.02	1	0	11	-125.179
0.02	1	0	12	-124.953
0.02	3	0	2	-136.353
0.02	3	0	3	-148.295
0.02	3	0	6	-80.2221
0.02	3	0	7	-128.149
