% time(s)	cellId	bwpId	IMSI	RNTI	frame	sframe	slot	symStart	numSym	harqId	ndi	rv	mcs	tbSize
0.018	1	0	0	6	2	2	0	7	1	0	1	0	0	114
0.018	1	0	0	5	2	2	0	8	1	0	1	0	0	114
0.018	1	0	0	4	2	2	0	9	1	0	1	0	0	114
0.018	1	0	0	3	2	2	0	10	1	0	1	0	0	114
0.018	1	0	0	2	2	2	0	11	1	0	1	0	0	114
0.018	1	0	0	1	2	2	0	12	1	0	1	0	0	114
0.018	3	0	0	4	2	2	0	9	1	0	1	0	0	114
0.018	3	0	0	3	2	2	0	10	1	0	1	0	0	114
0.018	3	0	0	2	2	2	0	11	1	0	1	0	0	114
0.018	3	0	0	1	2	2	0	12	1	0	1	0	0	114
1.003	1	0	0	1	100	7	0	12	1	15	1	0	0	114
1.008	1	0	0	1	101	2	0	12	1	15	0	1	0	114
1.027	1	0	0	1	103	1	0	12	1	15	1	0	0	114
1.032	1	0	0	1	103	6	0	12	1	15	0	1	0	114
1.038	1	0	0	1	104	2	0	1	12	15	1	0	0	1404
1.039	1	0	0	1	104	3	0	1	12	14	1	0	0	1404
1.04	1	0	0	1	104	4	0	1	12	13	1	0	0	1404
1.041	1	0	0	1	104	5	0	1	12	12	1	0	0	1404
1.042	1	0	0	1	104	6	0	1	12	11	1	0	0	1404
1.043	1	0	0	1	104	7	0	1	12	15	0	1	0	1404
1.044	1	0	0	1	104	8	0	1	12	14	0	1	0	1404
1.045	1	0	0	1	104	9	0	1	12	13	0	1	0	1404
1.046	1	0	0	1	105	0	0	1	12	12	0	1	0	1404
1.047	1	0	0	1	105	1	0	1	12	11	0	1	0	1404
1.048	1	0	0	1	105	2	0	1	12	15	1	0	0	1404
1.049	1	0	0	1	105	3	0	1	12	14	1	0	0	1404
1.05	1	0	0	1	105	4	0	1	12	13	1	0	0	1404
1.051	1	0	0	1	105	5	0	1	12	12	1	0	0	1404
1.052	1	0	0	1	105	6	0	1	11	11	1	0	0	1286
1.053	1	0	0	1	105	7	0	1	12	15	0	1	0	1404
1.054	1	0	0	1	105	8	0	1	12	14	0	1	0	1404
1.055	1	0	0	1	105	9	0	1	12	13	0	1	0	1404
1.056	1	0	0	1	106	0	0	1	12	12	0	1	0	1404
1.057	1	0	0	1	106	1	0	2	11	11	0	1	0	1286
1.058	1	0	0	1	106	2	0	1	12	15	1	0	0	1404
1.063	1	0	0	1	106	7	0	1	12	15	0	1	0	1404
1.07	1	0	0	1	107	4	0	12	1	15	1	0	0	114
1.075	1	0	0	1	107	9	0	12	1	15	0	1	0	114
1.081	1	0	0	1	108	5	0	1	12	15	1	0	0	1404
1.082	1	0	0	1	108	6	0	1	12	14	1	0	0	1404
1.083	1	0	0	1	108	7	0	1	12	13	1	0	0	1404
1.084	1	0	0	1	108	8	0	1	12	12	1	0	0	1404
1.085	1	0	0	1	108	9	0	1	12	11	1	0	0	1404
1.086	1	0	0	1	109	0	0	1	12	15	0	1	0	1404
1.087	1	0	0	1	109	1	0	1	11	10	1	0	0	1286
1.088	1	0	0	1	109	2	0	1	12	14	0	1	0	1404
1.089	1	0	0	1	109	3	0	1	12	12	0	1	0	1404
1.09	1	0	0	1	109	4	0	1	12	11	0	1	0	1404
1.091	1	0	0	1	109	5	0	1	12	15	1	0	0	1404
1.092	1	0	0	1	109	6	0	2	11	10	0	1	0	1286
1.093	1	0	0	1	109	7	0	1	12	14	1	0	0	1404
1.094	1	0	0	1	109	8	0	1	12	12	1	0	0	1404
1.095	1	0	0	1	109	9	0	1	12	11	1	0	0	1404
1.096	1	0	0	1	110	0	0	1	12	15	0	1	0	1404
1.097	1	0	0	1	110	1	0	1	12	10	1	0	0	1404
1.099	1	0	0	1	110	3	0	1	12	14	0	1	0	1404
1.1	1	0	0	1	110	4	0	1	12	11	0	1	0	1404
1.101	1	0	0	1	110	5	0	12	1	15	1	0	0	114
1.102	1	0	0	1	110	6	0	1	12	10	0	1	0	1404
1.103	1	0	0	1	110	7	0	11	1	13	1	0	0	114
1.103	1	0	0	2	110	7	0	12	1	15	1	0	0	114
1.106	1	0	0	1	111	0	0	12	1	15	0	1	0	114
1.117	1	0	0	2	112	1	0	12	1	15	1	0	3	216
1.123	1	0	0	2	112	7	0	1	12	15	1	0	3	2629
1.124	1	0	0	2	112	8	0	1	12	14	1	0	3	2629
1.125	1	0	0	2	112	9	0	1	12	13	1	0	3	2629
1.126	1	0	0	2	113	0	0	1	12	12	1	0	3	2629
1.127	1	0	0	2	113	1	0	12	1	11	1	0	3	216
1.129	1	0	0	2	113	3	0	1	12	15	1	0	3	2629
1.13	1	0	0	2	113	4	0	1	12	14	1	0	3	2629
1.131	1	0	0	2	113	5	0	1	12	13	1	0	3	2629
1.14	1	0	0	2	114	4	0	12	1	15	1	0	3	216
1.146	1	0	0	2	115	0	0	1	12	15	1	0	3	2629
