time(s)	cellId	rnti	lcid	packetSize
2.0024	3	1	3	1230
2.0048	3	1	3	1230
2.0072	3	1	3	1230
2.0096	3	1	3	1230
2.012	3	1	3	1230
2.0144	3	1	3	1230
2.0168	3	1	3	1230
2.0192	3	1	3	1230
2.0216	3	1	3	1230
2.024	3	1	3	1230
2.0264	3	1	3	1230
2.0288	3	1	3	1230
2.0312	3	1	3	1230
2.0336	3	1	3	1230
2.036	3	1	3	1230
2.0384	3	1	3	1230
2.0408	3	1	3	1230
2.0432	3	1	3	1230
2.0456	3	1	3	1230
2.048	3	1	3	1230
2.0504	3	1	3	1230
2.0528	3	1	3	1230
2.0552	3	1	3	1230
2.0576	3	1	3	1230
2.06	3	1	3	1230
2.0624	3	1	3	1230
2.0648	3	1	3	1230
2.0672	3	1	3	1230
2.0696	3	1	3	1230
2.072	3	1	3	1230
2.0744	3	1	3	1230
2.0768	3	1	3	1230
2.0792	3	1	3	1230
2.0816	3	1	3	1230
2.084	3	1	3	1230
2.0864	3	1	3	1230
2.0888	3	1	3	1230
2.0912	3	1	3	1230
2.0936	3	1	3	1230
2.096	3	1	3	1230
2.0984	3	1	3	1230
2.1008	3	1	3	1230
2.1032	3	1	3	1230
2.1056	3	1	3	1230
2.108	3	1	3	1230
2.1104	3	1	3	1230
2.1128	3	1	3	1230
2.1152	3	1	3	1230
2.1176	3	1	3	1230
2.12	3	1	3	1230
2.1224	3	1	3	1230
2.1248	3	1	3	1230
2.1272	3	1	3	1230
2.1296	3	1	3	1230
2.132	3	1	3	1230
2.1344	3	1	3	1230
2.1368	3	1	3	1230
2.1392	3	1	3	1230
2.1416	3	1	3	1230
2.144	3	1	3	1230
