time(s)	cellId	rnti	lcid	packetSize	delay(s)
1.01303	1	1	3	60	0.00795714
1.03703	1	1	3	106	0.00795714
1.04803	1	1	3	1396	0.00795714
1.04903	1	1	3	1396	0.00795714
1.05003	1	1	3	1396	0.00795714
1.05103	1	1	3	1396	0.00795714
1.05203	1	1	3	1396	0.00795714
1.05803	1	1	3	1396	0.00795714
1.05903	1	1	3	1396	0.00795714
1.06003	1	1	3	386	0.00795714
1.08003	1	1	3	106	0.00795714
1.09103	1	1	3	1396	0.00795714
1.09303	1	1	3	1396	0.00895714
1.09403	1	1	3	1396	0.00795714
1.09503	1	1	3	1396	0.00795714
1.09703	1	1	3	1278	0.00795714
1.10103	1	1	3	1396	0.00795714
1.10403	1	1	3	448	0.00895714
1.10503	1	1	3	1396	0.00795714
1.10703	1	1	3	62	0.00795714
1.10803	1	2	3	60	0.00295714
1.12203	1	2	3	208	0.00295714
1.12803	1	2	3	2621	0.00295714
1.12903	1	2	3	2621	0.00295714
1.13003	1	2	3	2621	0.00295714
1.13103	1	2	3	2183	0.00295714
1.14503	1	2	3	208	0.00295714
1.15103	1	2	3	2621	0.00295714
1.15203	1	2	3	2621	0.00295714
1.15303	1	2	3	2621	0.00295714
1.15403	1	2	3	2127	0.00295714
1.16803	1	2	3	208	0.00295714
1.17403	1	2	3	2621	0.00295714
1.17503	1	2	3	2621	0.00295714
1.17603	1	2	3	2621	0.00295714
1.17703	1	2	3	2127	0.00295714
1.19103	1	2	3	208	0.00295714
1.19703	1	2	3	2621	0.00295714
1.19796	1	2	3	2401	0.00288571
1.19903	1	2	3	2621	0.00295714
1.20003	1	2	3	2347	0.00295714
1.20803	1	3	3	60	0.00295714
1.21403	1	2	3	208	0.00295714
1.21903	1	1	3	106	0.00795714
1.22003	1	2	3	2621	0.00295714
1.22103	1	2	3	2621	0.00295714
1.22196	1	2	3	2401	0.00288571
1.22203	1	3	3	428	0.00295714
1.22303	1	2	3	2347	0.00295714
1.22746	1	1	3	458	0.00238571
1.22803	1	3	3	1744	0.00295714
1.22903	1	3	3	2621	0.00295714
1.23003	1	1	3	1396	0.00795714
1.2306	1	3	3	2621	0.00252857
1.23103	1	1	3	692	0.00795714
1.2316	1	3	3	2621	0.00252857
1.23203	1	1	3	692	0.00795714
1.23303	1	3	3	221	0.00295714
1.23403	1	1	3	692	0.00795714
1.23803	1	1	3	1044	0.00795714
1.24003	1	1	3	692	0.00795714
1.24103	1	1	3	68	0.00795714
1.24603	1	3	3	428	0.00295714
1.25196	1	3	3	4810	0.00288571
1.25303	1	3	3	4956	0.00295714
1.25603	1	1	3	106	0.00795714
1.25903	1	1	3	1161	0.00795714
1.26003	1	1	3	1396	0.00795714
1.26203	1	1	3	692	0.00795714
1.26296	1	1	3	692	0.00788571
1.26703	1	3	3	428	0.00295714
1.26903	1	1	3	1396	0.00795714
1.27003	1	1	3	393	0.00795714
1.27403	1	3	3	2621	0.00295714
1.27503	1	3	3	5250	0.00295714
1.27603	1	3	3	1897	0.00295714
1.28903	1	3	3	428	0.00295714
1.29003	1	1	3	106	0.0129571
1.29103	1	1	3	1396	0.00795714
1.29203	1	1	3	692	0.00795714
1.29503	1	3	3	5250	0.00295714
1.29603	1	3	3	2621	0.00295714
1.29803	1	3	3	1897	0.00295714
1.30103	1	1	3	692	0.00795714
1.30203	1	1	3	1278	0.00795714
1.30303	1	1	3	692	0.00795714
1.30403	1	1	3	1278	0.00795714
