Time	direction	frame	subF	slot	1stSym	nSymbol	cellId	bwpId	rnti	tbSize	mcs	rank	rv	SINR(dB)	CQI	corrupt	TBler
10.0079	UL	1000	7	0	12	1	1	0	1	114	0	1	0	-9.74645	255	1	1
10.0079	UL	1000	7	0	12	1	1	0	1	114	0	1	0	-9.74645	255	1	1
10.0129	UL	1001	2	0	12	1	1	0	1	114	0	1	1	-9.74753	255	0	0.0732773
10.0129	UL	1001	2	0	12	1	1	0	1	114	0	1	1	-9.74753	255	0	0.0732773
10.0181	DL	1001	8	0	1	1	1	0	1	114	0	1	0	-20.8258	0	1	1
10.0231	DL	1002	3	0	1	1	1	0	1	114	0	1	1	-20.8346	0	1	1
10.0281	DL	1002	8	0	1	1	1	0	1	114	0	1	2	-20.8447	0	1	1
10.0331	DL	1003	3	0	1	1	1	0	1	114	0	1	3	-20.8558	0	1	0.999999
10.1079	UL	1010	7	0	12	1	1	0	2	114	0	1	0	-21.8096	255	1	1
10.1079	UL	1010	7	0	12	1	1	0	2	114	0	1	0	-21.8096	255	1	1
10.1129	UL	1011	2	0	12	1	1	0	2	114	0	1	1	-21.808	255	1	1
10.1129	UL	1011	2	0	12	1	1	0	2	114	0	1	1	-21.808	255	1	1
10.1179	UL	1011	7	0	12	1	1	0	2	114	0	1	2	-21.8064	255	1	1
10.1179	UL	1011	7	0	12	1	1	0	2	114	0	1	2	-21.8064	255	1	1
10.1229	UL	1012	2	0	12	1	1	0	2	114	0	1	3	-21.8048	255	1	1
10.1229	UL	1012	2	0	12	1	1	0	2	114	0	1	3	-21.8048	255	1	1
10.2079	UL	1020	7	0	12	1	3	0	1	114	0	1	0	-19.9365	255	1	1
10.2079	UL	1020	7	0	12	1	3	0	1	114	0	1	0	-19.9365	255	1	1
10.2129	UL	1021	2	0	12	1	3	0	1	114	0	1	1	-19.9363	255	1	1
10.2129	UL	1021	2	0	12	1	3	0	1	114	0	1	1	-19.9363	255	1	1
10.2179	UL	1021	7	0	12	1	3	0	1	114	0	1	2	-19.9361	255	1	1
10.2179	UL	1021	7	0	12	1	3	0	1	114	0	1	2	-19.9361	255	1	1
10.2229	UL	1022	2	0	12	1	3	0	1	114	0	1	3	-19.9358	255	1	1
