Time	Entity	Frame	SF	Slot	nodeId	RNTI	bwpId	MsgType
0	gNB PHY Txed	0	0	0	1	0	0	MIB
0	gNB PHY Txed	0	0	0	3	0	0	MIB
0	gNB PHY Txed	0	0	0	5	0	0	MIB
0.005	gNB PHY Txed	0	5	0	1	0	0	SIB1
0.005	gNB PHY Txed	0	5	0	3	0	0	SIB1
0.005	gNB PHY Txed	0	5	0	5	0	0	SIB1
0.01	gNB PHY Txed	1	0	0	1	0	0	MIB
0.01	gNB PHY Txed	1	0	0	3	0	0	MIB
0.01	gNB PHY Txed	1	0	0	5	0	0	MIB
0.015	gNB PHY Txed	1	5	0	1	0	0	SIB1
0.015	gNB PHY Txed	1	5	0	3	0	0	SIB1
0.015	gNB PHY Txed	1	5	0	5	0	0	SIB1
0.02	gNB PHY Txed	2	0	0	1	0	0	RAR
0.02	gNB PHY Txed	2	0	0	1	0	0	MIB
0.02	gNB PHY Txed	2	0	0	3	0	0	RAR
0.02	gNB PHY Txed	2	0	0	3	0	0	MIB
0.02	gNB PHY Txed	2	0	0	5	0	0	MIB
0.02	gNB PHY Txed	2	0	0	5	0	0	RAR
0.022	gNB PHY Txed	2	2	0	5	0	0	UL_UCI
0.025	gNB PHY Txed	2	5	0	1	0	0	SIB1
0.025	gNB PHY Txed	2	5	0	3	0	0	SIB1
0.025	gNB PHY Txed	2	5	0	5	0	0	SIB1
0.029	gNB PHY Txed	2	9	0	3	0	0	UL_UCI
0.03	gNB PHY Txed	3	0	0	1	0	0	MIB
0.03	gNB PHY Txed	3	0	0	3	0	0	MIB
0.03	gNB PHY Txed	3	0	0	5	0	0	MIB
0.033	gNB PHY Txed	3	3	0	3	0	0	UL_UCI
0.035	gNB PHY Txed	3	5	0	1	0	0	SIB1
0.035	gNB PHY Txed	3	5	0	3	0	0	SIB1
0.035	gNB PHY Txed	3	5	0	5	0	0	UL_UCI
0.035	gNB PHY Txed	3	5	0	5	0	0	SIB1
0.039	gNB PHY Txed	3	9	0	1	0	0	UL_UCI
0.04	gNB PHY Txed	4	0	0	1	0	0	MIB
0.04	gNB PHY Txed	4	0	0	3	0	0	MIB
0.04	gNB PHY Txed	4	0	0	5	0	0	MIB
0.045	gNB PHY Txed	4	5	0	1	0	0	SIB1
0.045	gNB PHY Txed	4	5	0	3	0	0	SIB1
0.045	gNB PHY Txed	4	5	0	5	0	0	SIB1
0.05	gNB PHY Txed	5	0	0	1	0	0	MIB
0.05	gNB PHY Txed	5	0	0	3	0	0	MIB
0.05	gNB PHY Txed	5	0	0	5	0	0	MIB
0.051	gNB PHY Txed	5	1	0	5	0	0	UL_UCI
0.054	gNB PHY Txed	5	4	0	1	0	0	UL_UCI
0.055	gNB PHY Txed	5	5	0	1	0	0	SIB1
0.055	gNB PHY Txed	5	5	0	3	0	0	SIB1
0.055	gNB PHY Txed	5	5	0	5	0	0	SIB1
0.058	gNB PHY Txed	5	8	0	5	0	0	UL_UCI
0.06	gNB PHY Txed	6	0	0	1	0	0	MIB
0.06	gNB PHY Txed	6	0	0	3	0	0	MIB
0.06	gNB PHY Txed	6	0	0	5	0	0	MIB
0.06	gNB PHY Txed	6	0	0	5	0	0	UL_UCI
0.065	gNB PHY Txed	6	5	0	1	0	0	SIB1
0.065	gNB PHY Txed	6	5	0	3	0	0	SIB1
0.065	gNB PHY Txed	6	5	0	5	0	0	SIB1
0.07	gNB PHY Txed	7	0	0	1	0	0	MIB
0.07	gNB PHY Txed	7	0	0	3	0	0	MIB
0.07	gNB PHY Txed	7	0	0	5	0	0	MIB
