Time(sec)	CellId	BwpId	IMSI	pathLoss(dB)
0.0179286	3	0	0	-107.712
0.0179286	3	0	1	-98.0469
0.0179286	3	0	2	-78.0493
0.0179286	1	0	3	-77.8921
0.0179286	1	0	4	-96.6864
0.0179286	5	0	5	-112.355
0.0179286	5	0	6	-98.7086
0.0179286	5	0	7	-70.3406
0.0179286	5	0	8	-83.9401
0.0179286	5	0	9	-99.5257
0.0248571	5	0	8	-83.8547
0.0318571	3	0	0	-107.712
0.0358571	3	0	1	-98.1691
0.0378571	5	0	9	-99.5257
0.0418571	1	0	4	-95.4766
0.0538571	5	0	6	-99.643
0.0568571	1	0	3	-78.4091
0.0608571	5	0	7	-69.8413
0.0628571	5	0	5	-112.421
0.100857	3	0	2	-75.1082
0.104857	5	0	8	-82.3373
0.111857	3	0	0	-107.712
0.115857	3	0	1	-98.4268
0.117857	5	0	9	-99.5257
0.121857	1	0	4	-96.6533
0.133857	5	0	6	-100.684
0.136857	1	0	3	-79.0081
0.140857	5	0	7	-69.4731
0.142857	5	0	5	-110.641
0.180857	3	0	2	-74.2238
0.184857	5	0	8	-82.3816
0.191857	3	0	0	-107.712
0.195857	3	0	1	-97.3553
0.197857	5	0	9	-99.5257
0.201857	1	0	4	-95.8699
0.213857	5	0	6	-100.276
0.216857	1	0	3	-78.3437
0.220857	5	0	7	-68.7312
0.222857	5	0	5	-112.174
0.260857	3	0	2	-72.1257
0.264857	5	0	8	-81.2489
0.271857	3	0	0	-107.712
0.275857	3	0	1	-96.5187
0.277857	5	0	9	-99.5257
0.281857	1	0	4	-96.2241
0.293857	5	0	6	-101.213
0.296857	1	0	3	-78.337
0.300857	5	0	7	-67.4716
0.302857	5	0	5	-112.909
0.340857	3	0	2	-72.9309
0.344857	5	0	8	-81.4421
0.351857	3	0	0	-107.712
0.355857	3	0	1	-97.0711
0.357857	5	0	9	-99.5257
0.361857	1	0	4	-97.357
0.373857	5	0	6	-103.139
0.376857	1	0	3	-79.9239
0.380857	5	0	7	-68.7412
0.382857	5	0	5	-112.685
0.420857	3	0	2	-73.6916
0.424857	5	0	8	-82.4406
0.431857	3	0	0	-107.712
0.435857	3	0	1	-97.9901
0.437857	5	0	9	-99.5257
0.441857	1	0	4	-97.3176
0.453857	5	0	6	-102.327
0.456857	1	0	3	-80.5083
0.460857	5	0	7	-68.6597
