flowId,timeFirstTxPacket,timeFirstRxPacket,timeLastTxPacket,timeLastRxPacket,delaySum,jitterSum,lastDelay,maxDelay,minDelay,txBytes,rxBytes,txPackets,rxPackets,lostPackets,timesForwarded,throughput_mbps,loss_rate,avg_delay,avg_jitter
1,2.0024,2.04775,9.9992,9.20831,260.744,2.04286,1.28031,1.28231,0.0441049,4092924,428572,3333,349,0,0,0.47881394751248507,0.0,747.1174785100287,5.853467048710602
2,2.5024,8.93334,9.9976,8.95373,2.64147,0.0179896,1.32973,1.32973,1.31174,3836272,2456,3124,2,0,0,0.9636096125551364,0.0,1320.735,8.994800000000001
3,3.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,9223370000.0,112,0,2,0,0,0,0.0,0.0,0.0,0.0
4,3.5,0.0,6.5,0.0,0.0,0.0,0.0,0.0,9223370000.0,112,0,2,0,0,0,0.0,0.0,0.0,0.0
5,5.1,7.10088,9.1,7.10125,2.00213,1.99962,0.00125078,2.00088,0.00125078,384,256,3,2,0,0,5.535135135132091,0.0,1001.065,999.81
6,5.2,8.22613,9.2,8.22637,4.0525,1.99975,1.02637,3.02613,1.02637,384,256,3,2,0,0,8.53333333334059,0.0,2026.25,999.875
7,5.3,5.3169,9.3,7.30199,0.0188865,0.0149069,0.00198976,0.0168967,0.00198976,384,256,3,2,0,0,0.0010316912583308569,0.0,9.44325,7.45345
8,5.4,5.422,9.4,9.81092,0.435352,0.428048,0.410921,0.410921,0.0024347,384,384,3,3,0,0,0.000699944405457379,0.0,145.11733333333333,142.68266666666665
9,5.5,5.52488,9.5,9.81308,0.337958,0.2882,0.313079,0.313079,0.0248792,384,256,3,2,0,0,0.0004775896646611632,0.0,168.97899999999998,144.1
10,5.6,5.62866,9.6,9.81417,0.242826,0.185509,0.214167,0.214167,0.0286582,384,256,3,2,0,0,0.0004893071573117731,0.0,121.413,92.75450000000001
11,5.7,5.73355,9.7,9.90943,1.17664,1.62436,0.209425,0.933667,0.0335524,384,384,3,3,0,0,0.0007356533233713611,0.0,392.2133333333333,541.4533333333334
12,5.8,5.83726,9.8,8.63396,0.871225,0.796704,0.833965,0.833965,0.03726,384,256,3,2,0,0,0.0007322916294203882,0.0,435.6125,398.352
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
